WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha)
42.5,15.8,371.76
51.2,24.2,472.66
61.4,36.6,596.09
31.5,6.6,209.52
52.7,29.8,565.46
48.9,27.7,566.46
47.1,25.6,543.52
51.3,30.9,602.34
46.2,25.4,549.78
52.1,31.1,596.93
56,37,660.71
65,44,676.92
48,25.1,522.92
51,40.5,794.12
63.7,47,737.83
50.9,35.9,705.3
57.6,44.9,779.51
68.3,62.1,909.22
73.6,69.7,947.01
72.7,60.4,830.81
73.4,55.6,757.49
72.8,50.1,688.19
102.64,54,526.11
77.8,52.8,678.66
56.8,37.6,661.97
63.3,47.2,745.66
58.2,39.1,671.82
62.5,49.9,798.4
62.17,46.25,743.93
64.19,50.85,792.18
62.51,48.24,771.72
58.4,44.8,767.12
61.3,52.5,856.44
63.4,46.2,728.71
61.6,44,714.29
86.6,79.3,915.7
70.27,146.8,2089.08
91.66,208.67,2276.57
118,220,1864.41
65,127,1953.85
106,203,1915.09
87.27,222.87,2553.8
55,41,745.45
78,77,987.18
84.6,80,945.63
86.1,55.3,642.28
89.6,84.3,940.85
97.2,90.3,929.01
77.9,46.8,600.77
66.3,63.9,963.8
69.3,63,909.09
82.5,85.9,1041.21
81.7,92.4,1130.97
88,125,1420.45
86.3,93.7,1085.75
80.2,54.2,675.81
89,103.5,1162.92
85.5,132.6,1550.88
90.4,151.9,1680.31
95,142.8,1503.16
92.7,144.8,1562.03
85.3,144.4,1692.85
89,186,2089.89
94,186,1978.72
96,189.6,1975
85.1,127.9,1502.94
96.3,178.8,1856.7
90,211.7,2352.22
99.7,269.4,2702.11
100.6,260.9,2593.44
100.2,201.4,2009.98
101.1,281.3,2782.39
100.4,236.5,2355.58
109.4,225.6,2062.16
91.4,221.1,2419.04
99.1,294.7,2973.76
78.1,185.1,2370.04
84.7,243,2868.95
68,174.3,2563.24
96.6,274.3,2839.54
92.01,236.31,2568.31
91.36,230.27,2520.47
86.99,187.03,2150.02
68.9,111.4,1616.84
89.3,229.1,2565.51
83.4,189.9,2276.98
93.8,254,2707.89
112.2,346.8,3090.91
115.4,420.86,3646.97
119.29,363.64,3048.37
104,335,3221.15
136,515,3786.76
146,586,4013.7
65,247.26,3804
46,21,456.52
66,48,727.27
77,62,805.19
89.1,65.9,739.62
89.1,61.1,685.75
90.4,95.8,1059.73
90.4,58,641.59
81.3,57.8,710.95
70.4,67.6,960.23
89.7,81.2,905.24
85.4,79.8,934.43
99.7,94.8,950.85
101.6,88.3,869.09
66.6,53.4,801.8
87.9,92,1046.64
82.5,109.3,1324.85
87.7,133.1,1517.67
101.5,131.2,1292.61
96.6,108.6,1124.22
101.3,158.6,1565.65
79,125,1582.28
87,166,1908.05
108.6,161.7,1488.95
55.1,71.3,1294.01
113.1,219.2,1938.11
113.1,228.4,2019.45
123.3,233.6,1894.57
130,266.6,2050.77
118.5,217.2,1832.91
117.4,218.3,1859.45
122,222,1819.67
131.3,242.5,1846.92
129,238,1844.96
138.3,258.7,1870.57
108.5,170.6,1572.35
111.8,227.5,2034.88
66.5,91.8,1380.45
120.6,262.4,2175.79
121.46,216.51,1782.56
108.82,200.82,1845.43
99.29,178.33,1796.05
90.4,110.1,1217.92
114.8,224,1951.22
139.8,250.4,1791.13
147.1,298.1,2026.51
113.9,247.8,2175.59
